"species","Id_species","beta_intercept","beta_temp","beta_prec","beta_sais_temp","beta_sais_prec","beta_cwd","beta_temp2","beta_prec2","beta_sais_temp2","beta_sais_prec2","beta_cwd2","lambda_1","lambda_2"
"Ocotea laevis",1,-4.85503910319784,4.91032325081493,-4.6110636354902,7.6019330181522,-6.04771500473529,2.95895370149679,-4.49457912392748,7.29925813017682,-4.89057155433254,10.6653760937533,-8.54772300937341,0.0129987586177414,0
"Cryptocarya louvelii",2,-7.49252157214516,33.1648836050315,0.976629678036738,-2.05280408320039,2.78674064973728,-3.11577060754705,-35.1093590038738,0.328510861533097,2.00277345575011,-3.18355562279871,0.360229077224228,-1.15511001462402,0.321025086508457
"Potameia incisa",3,-34.2819904945787,89.228946797722,-61.6860482051535,77.3726259427732,35.5306945744326,-7.87626480958227,-98.5954768132966,64.5028824220588,-77.0873341048943,-47.5345317009564,14.5640288298327,-3.77305249287414,0.500132468130318
"Ilex mitis",4,-12.9833639072417,-0.80251151955592,-17.9774933399274,-13.5299580052086,2.36046633713359,-14.9160683639205,2.97264570233628,17.6075243410896,9.05508888290122,3.57007604829835,-9.64919431360987,-0.262281007137515,0.0319215669789367
"Bridelia tulasneana",5,-9.78718146205711,8.83896577790275,3.79793167328772,13.7270553221602,-4.14101444374606,12.2553589491959,-11.2294320903689,-2.39226663207864,-9.20578805367744,2.36466418466426,-13.7815421326788,-0.508726680708343,-1.07730257529023
"Manilkara hexandra",6,-1.46823871514512,6.64784330225817,3.08380086946023,1.34186334110293,-0.725665178651564,-0.902521709919665,-6.11409797838489,-3.67082807824971,-1.29024394098027,1.06294571433818,-0.290754724901168,-0.349970402536171,0.200848775648093
"Cassinopsis madagascariensis",7,-32.5477665432808,20.6440320245996,-2.89216402219796,94.6337740815606,37.2661412446381,96.1984000925118,-39.9995978590288,13.8540860017217,-59.4619006320986,-49.3353191665491,-60.6306938642547,-2.34162984593787,-4.79216716388003
"Domohinea perrieri",8,-7.97956393093912,34.224000573372,-6.12536293227981,44.6441583059297,-7.51794057613494,27.0681915210899,-43.353567021731,9.13928201985393,-34.9720048573163,3.31676140223341,-8.61206813280851,-1.22714049445318,0.0518176777376081
"Ravensara polyneura",9,-3.20875283095435,10.8198538168514,1.45225430044153,4.28369662684832,0.227978436060882,4.02309045236841,-12.2572619236593,-2.0973495091918,-2.84340459641514,-1.04204877169335,-4.29811093869415,-0.765152974833472,0.34081997134922
"Dracaena reflexa",10,-21.9076201255492,8.37268484735777,9.54734985110461,25.5903578024966,-1.78372542650648,28.3522186350197,-11.4472673658959,-7.93098575720221,-18.0379804937294,-2.64803490644982,-40.3928292575027,0.313113374164142,0.386780924472458
"Pachytrophe dimepate",11,-10.3695611298337,13.7007923371975,-4.8262616543425,-2.11538166882242,2.02835365915814,-2.82782341533856,-15.0917788851896,3.0359444345714,1.7866276654817,-1.39170373135983,-8.12185183830569,-0.564449536784095,0.190506950575079
"Xylopia buxifolia",12,-2.35574276501742,1.57067073725113,4.92693614391551,6.14270930359287,2.30642180214767,7.31791958406249,-3.46275600843224,-5.0209368414558,-3.07245903823274,-3.51677758051776,-3.11856821080036,-0.535395147045073,0.167612631882004
"Manilkara laciniata",13,-39.6456975299846,45.7349743840208,-37.2765056633565,18.5946561344843,-69.489060270447,15.6805934855476,-54.6229558646112,56.5228957091647,-17.2284301620145,89.263961398873,-46.800239555168,-1.31532426387971,-1.43401710443245
"Sarcolaena NA",14,-45.94771698211,144.238714592466,5.40699313890573,234.094957741063,-25.95113970343,71.283115108058,-171.27034142379,16.0919362892238,-200.984847219385,2.37913547585345,-2.66630030721948,-3.01021465214776,-1.7062979586666
"Chrysophyllum boivinianum",15,-4.51446971589196,9.53937830519445,-4.44866178485993,6.52587127953035,-0.844089392235617,7.51809771170876,-11.1850853644377,4.46875782821085,-4.63188560998791,-0.47757266022948,-8.82868668293589,-0.155149982025003,0.106763397409631
"Neodypsis lastelliana",16,-27.4162760053218,2.57216373797329,-8.34483613013427,18.0255861217485,-7.98013641864566,36.7355166947182,-3.80054522337145,10.5282635162576,-9.72610988829634,6.75499349190144,-60.0763751872271,0.410751308677277,0.74625591350506
"Dombeya lucida",17,-15.5224656707898,-2.66333130391608,-0.966161139871366,11.4410734264218,-2.74686282456874,19.1891797153408,1.80218116957627,1.11305881045082,-7.76226202523442,0.602821947674928,-32.7373896560201,-0.310948719003529,0.281252572967404
"Brachylaena merana",18,-2.35071929260161,-10.9928038212532,-5.42238399857507,-3.3262503534674,0.896025698802421,-6.92345026895125,13.4220160218578,6.14906641703434,1.7748932691377,1.05746959184629,1.16842998722899,0.159709960803003,0.170435541949335
"Dichaetanthera NA",19,-41.559041887054,166.431567170334,-31.2019534415498,144.375439553905,87.1286790884997,-23.6182434063286,-172.898490018671,38.1734178457523,-121.057637120801,-98.735008157446,47.5924137678905,-1.84238126710933,-0.0961586588667496
"Dichaetanthera cordifolia",20,-15.7395111222937,55.0891207617257,-1.79814710365145,-24.3849963291964,-6.1577475090308,-27.867820544804,-56.6883690196506,1.52540517881661,17.1513387729392,18.440694007666,0.226161888933642,0.43985929188509,-0.00527004304623125
"Tambourissa trichophylla",21,-3.41556537554613,8.40453400156608,-2.80532430618974,1.72814416142367,0.654744356885897,1.68961452704618,-10.2250305407472,2.07869797119965,-0.546882817690382,-0.826155332386514,-1.79583238955378,-0.363497246121741,0.566848547470254
