"intercept","temp","prec","sais_temp","sais_prec","cwd","temp2","prec2","sais_temp2","sais_prec2","cwd2"
1,0.725903061731414,-2.19176974263229,-0.15993737124761,0.882656666305642,0.446782035118405,0.69879965811639,-1.89020628722622,-0.359356610483895,0.818915530009968,0.0493972605398346
1,0.792319222786549,-2.22061011407908,-0.152638300622331,0.925697753582429,0.515229831753572,0.772705304980634,-1.90677015128681,-0.352317595291789,0.869867581091143,0.130763978796765
1,0.626278820148713,-2.15262923852592,-0.150813532966011,0.882656666305642,0.378334238483239,0.589086419951183,-1.8674403387103,-0.350554503569259,0.818915530009968,-0.0282963772069696
1,0.65948690067628,-2.15262923852592,-0.147163997653372,0.882656666305642,0.399166176589594,0.625504801722097,-1.8674403387103,-0.347024314614796,0.818915530009968,-0.0050393201773507
1,0.626278820148713,-2.14438913239827,-0.136215391715453,0.839615579028854,0.351550318060783,0.589086419951183,-1.86260548109262,-0.336401703676177,0.768424583463465,-0.0576983798915259
1,-0.768460562009107,-1.78800454237714,-0.0686989884316204,0.323122531707408,-0.392447471451897,-0.802599665835443,-1.63950996630929,-0.269833475311147,0.198499378609782,-0.649626760776736
1,-0.901292884119376,-1.75092406480269,-0.063224685462661,0.280081444430621,-0.434111347664607,-0.921093017006215,-1.61472720974518,-0.264355941201584,0.154002791014005,-0.669943270365829
1,-0.536003998316137,-1.84362525873882,-0.07234852374426,0.366163618984195,-0.309119719026477,-0.589357443013299,-1.67612907923507,-0.273478488868516,0.24345707074023,-0.604910998044763
1,-0.702044400953973,-1.82302499341968,-0.0705237560879402,0.323122531707408,-0.359711568713339,-0.742436804545128,-1.66264410220615,-0.271656649674732,0.198499378609782,-0.632709065761759
1,-0.702044400953973,-1.82302499341968,-0.0705237560879402,0.323122531707408,-0.359711568713339,-0.742436804545128,-1.66264410220615,-0.271656649674732,0.198499378609782,-0.632709065761759
1,1.19081618911735,-2.16704942424932,-0.150813532966011,0.193999269877046,0.536061769859927,1.2289657860351,-1.87586616531255,-0.350554503569259,0.0663929294264645,0.156256823962983
1,1.25723235017249,-2.18764968956846,-0.138040159371773,0.193999269877046,0.598557584178992,1.30714696618902,-1.88782540307058,-0.338175476757117,0.0663929294264645,0.23477673123853
1,1.22402426964492,-2.17116947731315,-0.143514462340732,0.150958182600259,0.54796573449213,1.26798002730332,-1.87826532179479,-0.343488784981128,0.0232796554347013,0.170976919769161
1,1.19081618911735,-2.22885022020674,-0.143514462340732,0.193999269877046,0.533085778701876,1.2289657860351,-1.91146979368767,-0.343488784981128,0.0663929294264645,0.152594158614984
1,1.19081618911735,-2.18970971610037,-0.136215391715453,0.193999269877046,0.503325867121369,1.2289657860351,-1.88901630195657,-0.336401703676177,0.0663929294264645,0.11634939441298
1,0.991567705951952,-2.05992804458979,0.177644645171553,0.237040357153833,0.271198556793413,0.998086988393083,-1.81220537944706,-0.0114480774518144,0.109967307952899,-0.142529875416043
1,1.05798386700709,-2.07434823031319,0.20319139236003,0.280081444430621,0.309886441848073,1.07443579713714,-1.82091899519321,0.0167400273918406,0.154002791014005,-0.102316934443647
1,0.89194346436925,-2.00636735476003,0.159396968608355,0.193999269877046,0.184894813209942,0.884709007408162,-1.77944857955582,-0.031422217678277,0.0663929294264645,-0.228007110992434
1,0.89194346436925,-2.02902764661108,0.163046503920994,0.237040357153833,0.211678733632399,0.884709007408162,-1.79338259901086,-0.0274380709913943,0.109967307952899,-0.202104602782554
1,1.09119194753465,-2.11348873441955,0.20136662470371,0.237040357153833,0.333694371112478,1.1128392479354,-1.8443445746993,0.0147179127278715,0.109967307952899,-0.0769872601507531
1,1.25723235017249,-2.13202897320678,0.597341206125107,0.710492317198493,0.583677628388738,1.30714696618902,-1.8553257861762,0.484807834270888,0.619718371031982,0.215803777563822
1,1.19081618911735,-2.09700852216424,0.56814492362399,0.710492317198493,0.524157805227724,1.2289657860351,-1.83452137192051,0.447999873190465,0.619718371031982,0.141647823219493
1,1.22402426964492,-2.09494849563233,0.57179445893663,0.667451229921706,0.544989743334079,1.26798002730332,-1.83328936029968,0.452582175948301,0.571071842624163,0.167286480655489
1,1.22402426964492,-2.08464836297276,0.573619226592949,0.667451229921706,0.539037761017978,1.26798002730332,-1.82711559795057,0.45487533008192,0.571071842624163,0.1599264327524
1,1.19081618911735,-2.08052830990893,0.559021085342391,0.667451229921706,0.512253840595521,1.2289657860351,-1.82463969769662,0.436567481767398,0.571071842624163,0.127149917538692
1,1.19081618911735,-2.10730865482381,1.16119441192792,0.237040357153833,0.0509752110976602,1.2289657860351,-1.84066772577973,1.26270379628102,0.109967307952899,-0.349083370718955
1,1.15760810858979,-2.09906854869616,1.11557522051993,0.280081444430621,0.0479992199396095,1.19010424238438,-1.83575246992502,1.19502737698096,0.154002791014005,-0.351614255115819
1,1.12440002806222,-2.03726775273874,1.11010091755097,0.280081444430621,0.0360952553074066,1.15139539635114,-1.79842210668644,1.18696228379661,0.154002791014005,-0.361668358289095
1,0.958359625424384,-2.04962791193022,1.01521299942234,0.323122531707408,0.00335935256884871,0.960141630447288,-1.80595395970991,1.04907662808356,0.198499378609782,-0.388744308098618
1,1.05798386700709,-2.03108767314299,1.07178079676825,0.323122531707408,0.021215299517153,1.07443579713714,-1.79464384635425,1.13084309429603,0.198499378609782,-0.374079759823785
1,1.05798386700709,-1.95074663839835,0.460483631901122,0.495286880814557,0.336670362270529,1.07443579713714,-1.74477821026166,0.315224579891637,0.381096774339602,-0.0737898053777602
